Zone,Type,Location,Overrides,AP START 1
206.2,Valve Tamper,25FL Stairs B,,
209.1,Damper,26FL ExitByElev,,
210.1,Waterflow,26FL Stairs B,,
210.2,Valve Tamper,26FL Stairs B,,
213.1,Damper,27FL ExitByElev,,
214.1,Waterflow,27FL Stairs B,,
214.2,Valve Tamper,27FL Stairs B,,
217.1,Damper,28FL ExitByElev,,
218.1,Waterflow,28FL Stairs B,,
218.2,Valve Tamper,28FL Stairs B,,
220.1,Damper,29FL ExitByElev,,
221.1,Waterflow,29FL Stairs B,,
221.2,Valve Tamper,29FL Stairs B,,
223.1,Damper,30FL ExitByElev,,
224.1,Waterflow,30FL Stairs B,,
224.2,Valve Tamper,30FL Stairs B,,
226.1,Damper,Roof ExitByElev,,
227.1,Damper,Roof TopOfStair A,,
228.1,Damper,Roof TopOfStair B,,
229.1,Normal Power Fault,BLKHD EMR,type=Non-latched Supervisory,
229.2,Emergency PWR Fault,BLKHD EMR,type=Non-latched Supervisory,
230.1,Vent Power Fault,BLKHD EMR,type=Non-latched Supervisory,
231.1,FSAE Shaft Light,BLKHD EMR,type=Relay,
232.1,Main Elev Recall,BLKHD EMR ,,
233.1,Alt. Elev Recall,BLKHD EMR,,
234.1,FAN EXHAUST,Roof PF D-R-1,,
235.1,FAN FRESH AIR,Roof PF D-R-1,,
236.1,FAN EXHAUST,Roof PF D-R-2,,
237.1,FAN FRESH AIR,Roof PF D-R-2,,
245.1,AES Radio Trouble, ,,
